"브랜드","차종","가격","연식","배기량","주행거리","색상","변속기","연료","선루프","LED헤드램프","어댑티드헤드램프","가죽시트","열선시트.앞좌석.","통풍시트","후방센서","스마트키","네비게이션.순정.","네비게이션.비순정.","전손유무","소유자.이전.횟수","침수유무"
"제네시스","GV80 3.5 터보 AWD 7인승",6999,"2022.02",3470,20286,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보",3590,"2020.11",2497,40469,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","카니발 4세대 3.5 가솔린 9인승 하이리무진 시그니처",4199,"2020.12",3470,52180,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","쏘렌토 4세대 2.2 디젤 2WD  프레스티지",2590,"2020.05",2151,54586,3,1,2,1,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","더 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜",2480,"2019.11",2199,53490,2,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","올 뉴 카니발 2.2 디젤 9인승 노블레스",1730,"2015.11",2199,75226,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보",5190,"2021.09",2497,11024,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","올 뉴 K7 하이브리드 2.4 HEV 노블레스 스페셜",2570,"2019.01",2359,49578,3,1,4,0,1,0,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",5800,"2020.03",2996,48325,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",5390,"2020.1",2996,72023,2,1,2,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","G80 3.3 터보 AWD 스포츠",2899,"2016.11",3342,70050,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
